id,tipo_asentamientos
1,NO PROPORCIONADO
2,EJIDO
3,COLONIA
4,FRACCIONAMIENTO
5,AMPLIACION
6,RANCHO
7,PUERTO
8,LOCALIDAD
9,CANTON
10,MANZANA
11,PUEBLO
12,CIUDAD
13,FRACCION
14,PRIVADA
15,PARAJE
16,REGION
17,PARQUE INDUSTRIAL
18,NINGUNO
19,ZONA FEDERAL
20,ZONA COMERCIAL
21,SECCION
22,GRANJA
23,CIUDAD INDUSTRIAL
24,RESIDENCIAL
25,AEROPUERTO
26,UNIDAD HABITACIONAL
27,CUARTEL
28,HACIENDA
29,CONDOMINIO
30,ZONA INDUSTRIAL
31,UNIDAD
32,PROLONGACION
33,RANCHERIA
34,CORREDOR INDUSTRIAL
35,SUPERMANZANA
36,VILLA
37,EXHACIENDA
38,CONJUNTO HABITACIONAL
39,BARRIO
40,RINCONADA
41,SECTOR
42,ZONA MILITAR
